"idx","year","status","score","slug","pdf_file","title"
1,2026,"matched",0.778,"2026_eleuterio-da-rocha_striking-or-grappling-comparing-public-and-officer","2026 - Striking or grappling_comparing public and officer perceptions of police use of force.pdf","Striking or grappling? Comparing public and officers' perceptions of police use of force"
2,2026,"matched",0.6,"2026_tanksley_clarifying-methods-and-interpretations-in-law-enfo","2026 - Clarifying methods and interpretations in law enfrocement mortality surveillance_reponse to Kamal.pdf","Clarifying methods and interpretations in law enforcement mortality surveillance: Response to Kamal"
3,2026,"matched",1,"2026_martaindale_public-opinion-and-the-immediate-entry-dilemma-a-f","2026 - Public opinion and the immediate entry dilemma_A factorial survey experiment on active shooter response.pdf","Public opinion and the immediate entry dilemma: A factorial survey experiment on active shooter response"
4,2025,"matched",0.312,"2025_tanksley_mortality-among-law-enforcement-officers-in-the-un","2025 - Mortality among LEOs in the US_A population wide analysis of the NOMS data.pdf","Mortality among law enforcement officers in the United States: A population-wide analysis of the National Occupational Mortality Surveillance data, 2020-2023"
5,2025,"matched",0.773,"2025_mcallister_shift-schedule-change-from-24-48-to-1-3-2-3-improv","2026 - Shift schedule change from 24_48 to 1323 improves markers of stress and quality of life in career firefighters.pdf","Shift schedule change from 24/48 to 1/3/2/3 improves markers of stress and quality of life in career firefighters"
6,2025,"matched",1,"2025_sutton_virtual-reality-based-active-shooter-training-adde","2025 - Virtual reality based active shooter training Added physical stress increases anxiety but not stress biomarkers.pdf","Virtual reality based active shooter training: Added physical stress increases anxiety but not stress biomarkers"
7,2025,"matched",1,"2025_blair_to-what-are-we-inferring-the-widespread-misuse-of","2025 - To what are we inferring the widespread misuse of inferential testing in the most cited criminology and criminal justice journals.pdf","To what are we inferring? The widespread misuse of inferential testing in the most cited criminology and criminal justice journals"
8,2025,"matched",0.545,"2025_blair_active-attacks-with-motor-vehicles-a-short-report","2025 - Active attacks with motor vehicles A short report.pdf","Active attacks with motor vehicles: A short report and case study of the 2025 New Year's Day attack in New Orleans, LA"
9,2025,"matched",1,"2025_gonzalez_relationships-between-physiological-stress-biomark","2025 - Relationships between physiological stress biomarkers and cardiovascular disease risk factors among career firefighters.pdf","Relationships between physiological stress biomarkers and cardiovascular disease risk factors among career firefighters"
10,2025,"matched",1,"2025_mcallister_markers-of-fitness-stress-and-cardiometabolic-dise","2025 - Markers of fitness, stress, and cardiometabolic disease risk among law enforcement officers.pdf","Markers of fitness, stress, and cardiometabolic disease risk among law enforcement officers"
11,2025,"no-pdf",0.85,"2025_johncox_can-a-virtual-reality-training-scenario-elicit-a-s","","Can a Virtual Reality Training Scenario Elicit a Stress Response Similar to a Realistic Scenario Based Training Scenario?"
12,2024,"matched",0.6,"2024_doyle_oh-a-replication-and-expansion-of-martaindale-et-a","2024 - Oh, @#%$! A replication and expansion of Martaindale et al (2023).pdf","Oh, @#%$!: A replication and expansion of Martaindale et al. (2024)"
13,2024,"matched",0.462,"2024_brimbal_interviewing-and-interrogation-practices-and-belie","2024 - Interviewing and Interrogation Practices and Beliefs, 20 Years Later.pdf","Interviewing and interrogation practices and beliefs, twenty years later: A national self-report survey of American police"
14,2024,"matched",1,"2024_doyle_falseflag-exploring-themes-in-conspiracy-theory-tw","2024 - #FalseFlag Exploring themes in conspiracy theory tweets regarding the Robb Elementary School active shooter event.pdf","#FalseFlag: Exploring themes in conspiracy theory tweets regarding the Robb Elementary School active shooter event"
15,2024,"matched",0.867,"2024_mcallister_impact-of-l-theanine-and-l-tyrosine-on-markers-of","2024 - Impact of L-theanine and L-tyrosine on markers of stress and cognitive performance in response to a virtual reality based active shooter training dril.pdf","Impact of L-theanine and L-tyrosine on markers of stress and cognitive performance in response to a virtual reality based active shooter training drill"
16,2024,"matched",1,"2024_mcallister_stress-response-to-virtual-reality-based-active-sh","2024 - Stress response to virtual reality based active shooter training_Impact of caffeine consumption.pdf","Stress response to virtual reality based active shooter training: Impact of caffeine consumption"
17,2024,"matched",1,"2024_martaindale_can-a-virtual-reality-training-scenario-elicit-sim","2024 - Can a virtual reality training scenario elicit similar stress response as a realistic SBT.pdf","Can a virtual reality training scenario elicit similar stress response as a realistic scenario-based training scenario?"
18,2024,"matched",0.75,"2024_schildkraut_arm-the-educators-but-not-without-conditions-a-qua","2024 - Arm the educators...but not without conditions_ A qualitative assessment of LEOs support for armed teacher policies.pdf","Arm the educators - but not without conditions: A qualitative assessment of law enforcement officers' support for armed teacher policies"
19,2024,"no-pdf",0.225,"2024_sandel_a-scientific-examination-of-the-21-foot-rule","","A scientific examination of the 21-foot rule"
20,2023,"matched",1,"2023_martaindale_wait-for-backup-or-not-how-police-officers-view-th","2023 - Wait for backup or not How police officers view their role when responding to an active shooter event.pdf","Wait for backup or not? How police officers view their role when responding to an active shooter event"
21,2023,"matched",1,"2023_dillard_slow-breathing-reduces-biomarkers-of-stress-in-res","2023 - Slow breathing reduces biomarkers of stress in response to a virtual reality active shooter training drill.pdf","Slow breathing reduces biomarkers of stress in response to a virtual-reality active shooter training drill"
22,2023,"matched",0.5,"2023_martaindale_successfully-securing-a-classroom-door-in-an-activ","2023 - Successfully securing a classroom door in a lockdown Evaluating two types of door locks.pdf","Successfully securing a classroom door in an active shooter event: Examining two types of door locks"
23,2023,"matched",1,"2023_mcallister_risk-factors-for-cardiometabolic-disease-in-profes","2023 - Risk factors for cardiometabolic disease in professional firefighters.pdf","Risk factors for cardiometabolic disease in professional firefighters"
24,2022,"matched",1,"2022_sandel_what-are-we-talking-about-definitional-confusion-w","2022 - What are we talking about Definitional confusion within active and mass shooting research.pdf","What are we talking about? Definitional confusion within mass and active shooting research"
25,2022,"matched",1,"2022_mcallister_firefighters-with-higher-cardiorespiratory-fitness","2022 - Firefighters with higher cardiorespiratory fitness demonstrate lower markers of cardiovascular disease risk.pdf","Firefighters with higher cardiorespiratory fitness demonstrate lower markers of cardiovascular disease risk"
26,2022,"matched",0.5,"2022_martaindale_the-impact-of-swear-words-on-civilians-perception","2022 - @#%$! The impact of officer profanity on civilians’ perception of what constitutes reasonable use of force.pdf","#&$@!!: The impact of swear words on civilians' perception of officer use of force"
27,2022,"matched",0.818,"2022_mcallister_virtual-reality-based-active-shooter-training-dril","2022 - VR based active shooter training drill increases salivary and subjective markers of stress.pdf","Virtual reality based active shooter training drill increases salivary and subjective markers of stress"
28,2022,"matched",0.8,"2022_martaindale_armed-and-considered-capable-law-enforcement-offic","2022 - Armed and considered capable law enforcement officers attitudes about armed teacher policies in the US.pdf","Armed and considered capable? Law enforcement officers' attitudes about armed teacher policies in the United States"
29,2022,"matched",0.9,"2022_schildkraut_should-firearms-be-allowed-in-k-12-public-schools","2022 - Should firearms be allowed in K-12 public schools An analysis of LE perceptions of armed teacher policies.pdf","Should firearms be allowed in K-12 public schools? An analysis of law enforcement's perceptions of armed teacher policies"
30,2021,"matched",1,"2021_blair_an-evaluation-of-light-positioning-on-suspect-accu","2021 - An evaluation of light positioning on suspect accuracy in low light environments.pdf","An evaluation of light positioning on suspect accuracy in low light environments"
31,2021,"matched",1,"2021_mcallister_women-demonstrate-lower-markers-of-stress-and-oxid","2021 - Women demonstrate lower markers of stress and oxidative stress during active shooter training drill.pdf","Women demonstrate lower markers of stress and oxidative stress during active shooter training drill"
32,2021,"matched",1,"2021_martaindale_improving-the-accuracy-of-firearm-identification-i","2021 - Improving the accuracy of firearm identification in a dynamic use of force scenario.pdf","Improving the accuracy of firearm identification in a dynamic use of force scenario"
33,2021,"matched",0.75,"2021_sandel_a-scientific-examination-of-the-21-foot-rule","2021 - A scientific examination of the 21-ft rule.pdf","A scientific examination of the 21-foot rule"
34,2020,"matched",1,"2020_mcallister_active-shooter-training-drill-increases-blood-and","2020 - Active shooter training drill increases blood and salivary markers of stress.pdf","Active shooter training drill increases blood and salivary markers of stress"
35,2020,"matched",1,"2020_blair_correlates-of-the-number-shot-and-killed-in-active","2020 - Correlates of the number shot and killed in active shooter events.pdf","Correlates of the number shot and killed in active shooter events"
36,2019,"matched",1,"2019_blair_peek-or-push-an-examination-of-two-types-of-room-c","2019 - Peek or push An examination of two types of room clearing tactics for active shooter event response.pdf","Peek or push: An examination of two types of room clearing tactics for active shooter event response"
37,2019,"matched",0.714,"2019_martaindale_the-evolution-of-active-shooter-response-training","2019 - The evolution of active shooter response training protocols since Columbine Lessons from the ALERRT Center.pdf","The evolution of active shooter response training protocols since Columbine: Lessons from the advanced law enforcement rapid response training center"
38,2017,"matched",1,"2017_blair_throwing-a-chair-could-save-officers-lives-during","2017 - Throwing a chair could save officers lives during room entries.pdf","Throwing a chair could save officers' lives during room entries"
39,2017,"matched",1,"2017_martaindale_active-shooter-events-in-the-workplace-findings-an","2017 - Active shooter events in the workplace Findings and policy implications.pdf","Active shooter events in the workplace: Findings and policy implications"
40,2025,"no-pdf",0.111,"2025_mcallister_inflammation-on-the-frontlines-linking-salivary-bl","","Inflammation on the frontlines: Linking salivary blood biomarkers to cardiometabolic health and physical fitness parameters in firefighters"
41,2024,"no-pdf",0.131,"2024_blair_the-chain-of-survival-responding-to-an-active-atta","","The Chain of Survival: Responding to an Active Attack"
42,2021,"no-pdf",0.155,"2021_martaindale_active-shooter-hostile-event-overview-data","","Active Shooter/Hostile Event Overview (Data)"
43,2013,"no-pdf",0.082,"2013_blair_active-shooter-events-in-the-united-states-2000-to","","Active shooter events in the United States - 2000 to 2010"
44,2013,"no-pdf",0.035,"2013_blair_evaluating-police-tactics-an-empirical-assessment","","Evaluating police tactics: An empirical assessment of room entry techniques"
45,2023,"no-pdf",0.071,"2023_martaindale_putting-the-lock-in-lockdown-examining-different-o","","Putting the lock in lockdown: Examining different options for schools"
46,2023,"no-pdf",0.327,"2023_martaindale_assessing-acute-stress-response-during-live-action","","Assessing acute stress response during live-action and virtual reality training"
47,2017,"no-pdf",0.375,"2017_martaindale_active-shooter-events-in-schools","","Active Shooter Events in Schools"
48,2015,"no-pdf",0.2,"2015_martaindale_police-considerations-in-active-shooter-events","","Police considerations in active shooter events"
49,2014,"no-pdf",0.1,"2014_blair_active-shooter-events-from-2000-to-2012","","Active shooter events from 2000 to 2012"
50,2026,"no-pdf",0.331,"2026_gaitan_comparing-the-effects-of-acute-participation-in-ta","","Comparing the effects of acute participation in target practice versus active shooter virtual reality training on stress biomarkers"
51,2020,"no-pdf",0.061,"2020_blair_the-alerrt-room-entry-system","","The ALERRT Room Entry System"
52,2013,"no-pdf",0.019,"2013_martinez-prather_junior-college-audit-report-findings-on-safety-and","","Junior College Audit Report: Findings on Safety and Security in Texas Junior Colleges 2009-2012"
53,2013,"no-pdf",0.018,"2013_sanders_bexar-county-felony-probation-terminations-2010-an","","Bexar County Felony Probation Terminations 2010 and 2011: Quantitative and Qualitative Data Results"
54,2013,"no-pdf",0.1,"2013_blair_united-states-active-shooter-events-from-2000-to-2","","United States Active Shooter Events from 2000 to 2010: Training and Equipment Implications"
